date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T)
1/1/2024,0,0,0
1/2/2024,23.12,14.14,16.14
1/3/2024,12.76,16.4,5.2
1/4/2024,37.04,11.82,8.73
1/5/2024,64.36,0,9.69
1/6/2024,22.61,3,6.79
1/7/2024,33.78,8.1,2.34
1/8/2024,13.49,8.36,10.13
1/9/2024,49.16,6.69,3.38
1/10/2024,32.86,14.56,29.61
1/11/2024,15.06,7.36,0
1/12/2024,11.38,24.11,13.72
1/13/2024,35.13,6.31,24.8
1/14/2024,16.8,7.1,0
1/15/2024,11.4,33.43,3.3
1/16/2024,8.6,14.7,1.76
1/17/2024,12.5,4.7,17.78
1/18/2024,5.85,8.45,4.62
1/19/2024,50.09,19.47,0
1/20/2024,38.3,22.5,8.1
1/21/2024,21.1,7.9,23.05
1/22/2024,15.3,6.85,4
1/23/2024,11.8,2.75,3.1
1/24/2024,11.55,6,3.2
1/25/2024,7.3,4.9,3.4
1/26/2024,8.8,34.5,1.86
1/27/2024,10.55,22.5,1.45
1/28/2024,23.65,22.2,6.3
1/29/2024,11.8,12.7,5.3
1/30/2024,14.2,17.44,8.21
1/31/2024,2,5.25,0
2/1/2024,38.03,8.62,7.85
2/2/2024,11.35,49.95,1.85
2/3/2024,35.16,13.71,11.64
2/4/2024,77.5,0,18.65
2/5/2024,4.6,10.45,13.21
2/6/2024,26,21.95,18.03
2/7/2024,37.7,0,12.1
2/8/2024,7.7,4.1,7.4
2/9/2024,30.38,11.97,0
2/10/2024,16.48,24.95,1.12
2/11/2024,11.44,11.16,7.22
2/12/2024,33.03,11.06,4.34
2/13/2024,16.92,9.06,34.52
2/14/2024,0,0,0
2/15/2024,28.36,3.04,15.55
2/16/2024,19.18,5.47,14.24
2/17/2024,21.85,16.7,22.8
2/18/2024,18.2,14.7,7.05
2/19/2024,6.94,4.01,2.18
2/20/2024,30.77,20.69,4.7
2/21/2024,7.1,6.72,2.33
2/22/2024,26.84,18.17,4.98
2/23/2024,45.66,9.07,13.96
2/24/2024,16.7,40.95,3.7
2/25/2024,28.2,17.1,1.9
2/26/2024,18.04,12.59,10.65
2/27/2024,61.2,0,1.05
2/28/2024,29.17,12.96,13.04
2/29/2024,53.18,3.87,5.19
3/1/2024,48.98,9.47,17.75
3/2/2024,34.08,9.04,15.5
3/3/2024,25,9.9,1.9
3/4/2024,30.9,16.26,0
3/5/2024,4.62,12.66,3.39
3/6/2024,30.39,3.99,0
3/7/2024,58.92,0,15.12
3/8/2024,18.99,4.21,1.88
3/9/2024,61.9,16,6.75
3/10/2024,98.3,60.1,41.6
3/11/2024,51.37,2.21,0
3/12/2024,0,0,0
3/13/2024,3.3,17.7,4.3
3/14/2024,29.3,8.62,10.72
3/15/2024,24.72,10.28,16.05
3/16/2024,16.68,10.53,0
3/17/2024,32.43,10.08,40.42
3/18/2024,18.48,4.22,17.94
3/19/2024,44.17,16.33,0
3/20/2024,19.57,4.79,3.81
3/21/2024,28.45,10.45,5.32
3/22/2024,23.13,25.43,9.23
3/23/2024,28.31,14.1,16.28
3/24/2024,2.7,8.1,0
3/25/2024,34.76,6.3,0
3/26/2024,61.9,8.11,26.53
3/27/2024,28.9,4.43,6.07
3/28/2024,10.99,10.63,0.97
3/29/2024,5.5,27.5,5.7
3/30/2024,14.8,17.4,16.2
3/31/2024,34.73,20.46,7.22
4/1/2024,18.32,18.75,15.99
4/2/2024,22.15,5.75,6.24
4/3/2024,18.61,7.84,11.44
4/4/2024,25.68,11.29,0
4/5/2024,21.65,14.25,0
4/6/2024,36.08,11.12,0.85
4/7/2024,18.85,24.12,6.86
4/8/2024,16.56,23.13,6.44
4/9/2024,16.57,21.61,5.09
4/10/2024,0,0,0
4/11/2024,0,0,0
4/12/2024,0,0,0
4/13/2024,0,0,0
4/14/2024,0,0,0
