date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T),dow,is_weekend,is_closed,close_reason,is_event,pre_event_peak,restock_flag
2024-01-01,0.0,0.0,0.0,0,0,1,Tahun Baru,0,0,0
2024-01-02,23.12,14.14,16.14,1,0,0,,0,0,0
2024-01-03,12.76,16.4,5.2,2,0,0,,0,0,0
2024-01-04,37.04,11.82,8.73,3,0,0,,0,0,0
2024-01-05,64.36,0.0,9.69,4,0,0,,0,1,0
2024-01-06,20.72,13.51,10.41,5,1,0,,0,0,0
2024-01-07,30.56,12.08,13.29,6,1,0,,0,0,0
2024-01-08,21.44,12.93,5.2,0,0,0,,0,0,0
2024-01-09,22.88,6.87,7.8,1,0,0,,0,0,0
2024-01-10,25.84,13.6,29.61,2,0,0,,0,0,0
2024-01-11,23.2,11.1,7.57,3,0,0,,0,0,0
2024-01-12,24.08,12.47,7.36,4,0,0,,0,0,0
2024-01-13,22.88,10.79,24.8,5,1,0,,0,0,0
2024-01-14,24.16,7.89,9.03,6,1,0,,0,0,0
2024-01-15,26.4,33.43,9.89,0,0,0,,0,0,0
2024-01-16,22.32,12.04,6.46,1,0,0,,0,0,0
2024-01-17,32.4,13.87,7.39,2,0,0,,0,0,0
2024-01-18,30.0,6.44,11.19,3,0,0,,0,0,0
2024-01-19,23.28,13.74,5.61,4,0,0,,0,0,0
2024-01-20,20.16,10.57,4.43,5,1,0,,0,0,0
2024-01-21,12.16,9.03,23.05,6,1,0,,0,0,0
2024-01-22,20.96,8.33,3.31,0,0,0,,0,0,0
2024-01-23,29.36,6.93,4.77,1,0,0,,0,0,0
2024-01-24,19.92,14.14,3.16,2,0,0,,0,0,0
2024-01-25,27.12,7.26,10.44,3,0,0,,0,0,0
2024-01-26,24.56,34.5,5.63,4,0,0,,0,0,0
2024-01-27,22.0,5.12,4.21,5,1,0,,0,0,0
2024-01-28,31.52,7.71,3.26,6,1,0,,0,0,0
2024-01-29,21.28,10.11,2.77,0,0,0,,0,0,0
2024-01-30,20.08,14.94,2.6,1,0,0,,0,0,0
2024-01-31,20.8,14.96,2.24,2,0,0,,0,0,0
2024-02-01,18.64,9.68,5.99,3,0,0,,0,0,0
2024-02-02,27.12,49.95,8.07,4,0,0,,0,1,0
2024-02-03,26.16,14.63,6.89,5,1,0,,0,0,0
2024-02-04,77.5,10.53,6.98,6,1,0,,0,0,0
2024-02-05,26.48,10.46,6.27,0,0,0,,0,0,0
2024-02-06,17.68,9.93,6.16,1,0,0,,0,0,0
2024-02-07,26.32,14.33,8.19,2,0,0,,0,0,0
2024-02-08,16.0,6.36,8.36,3,0,0,,0,0,0
2024-02-09,22.88,10.79,6.5,4,0,0,,0,0,0
2024-02-10,26.4,14.14,6.43,5,1,0,,0,0,0
2024-02-11,23.92,14.32,10.29,6,1,0,,0,0,0
2024-02-12,24.88,9.89,3.26,0,0,0,,0,0,0
2024-02-13,22.16,10.82,34.52,1,0,0,,0,0,0
2024-02-14,0.0,0.0,0.0,2,0,1,Pemilu,1,0,0
2024-02-15,18.32,15.44,8.73,3,0,0,,0,0,0
2024-02-16,22.64,8.66,3.74,4,0,0,,0,0,0
2024-02-17,17.36,10.57,22.8,5,1,0,,0,0,0
2024-02-18,28.08,13.02,8.21,6,1,0,,0,0,0
2024-02-19,27.28,13.35,6.5,0,0,0,,0,0,0
2024-02-20,21.12,11.41,5.12,1,0,0,,0,0,0
2024-02-21,23.92,6.76,4.26,2,0,0,,0,0,0
2024-02-22,22.48,10.46,3.76,3,0,0,,0,0,0
2024-02-23,19.92,7.77,2.64,4,0,0,,0,0,0
2024-02-24,23.44,40.95,7.5,5,1,0,,0,1,0
2024-02-25,30.16,13.81,4.44,6,1,0,,0,0,0
2024-02-26,22.96,9.61,3.46,0,0,0,,0,0,0
2024-02-27,61.2,5.19,4.23,1,0,0,,0,0,0
2024-02-28,18.72,12.86,5.9,2,0,0,,0,0,0
2024-02-29,30.88,15.07,4.79,3,0,0,,0,0,0
2024-03-01,27.2,11.37,5.66,4,0,0,,0,0,0
2024-03-02,25.2,13.91,3.51,5,1,0,,0,0,0
2024-03-03,23.2,12.22,3.12,6,1,0,,0,0,0
2024-03-04,26.8,13.98,3.63,0,0,0,,0,0,0
2024-03-05,28.72,13.07,4.37,1,0,0,,0,0,0
2024-03-06,25.12,12.62,4.53,2,0,0,,0,0,0
2024-03-07,25.28,13.26,4.4,3,0,0,,0,0,0
2024-03-08,23.92,12.94,3.77,4,0,0,,0,0,0
2024-03-09,24.16,11.84,4.07,5,1,0,,0,0,0
2024-03-10,98.3,60.1,41.6,6,1,0,,0,1,0
2024-03-11,22.0,10.89,3.94,0,0,0,,1,0,0
2024-03-12,0.0,0.0,0.0,1,0,1,Libur 1 Ramadhan,1,0,0
2024-03-13,21.84,7.77,4.46,2,0,0,,0,0,0
2024-03-14,21.12,10.11,3.91,3,0,0,,0,0,0
2024-03-15,20.48,7.71,4.83,4,0,0,,0,0,0
2024-03-16,19.12,5.55,3.47,5,1,0,,0,0,0
2024-03-17,27.12,8.59,40.42,6,1,0,,0,0,0
2024-03-18,20.72,8.14,3.8,0,0,0,,0,0,0
2024-03-19,23.2,7.77,3.34,1,0,0,,0,0,0
2024-03-20,19.12,10.89,4.44,2,0,0,,0,0,0
2024-03-21,20.96,9.21,3.57,3,0,0,,0,0,0
2024-03-22,21.84,8.66,4.54,4,0,0,,0,0,0
2024-03-23,19.6,6.76,3.44,5,1,0,,0,0,0
2024-03-24,24.32,11.78,3.61,6,1,0,,0,0,0
2024-03-25,22.16,12.27,3.34,0,0,0,,0,0,0
2024-03-26,61.9,9.0,26.53,1,0,0,,0,0,0
2024-03-27,23.92,9.61,4.44,2,0,0,,0,0,0
2024-03-28,24.48,9.21,4.04,3,0,0,,0,0,0
2024-03-29,22.64,8.59,3.74,4,0,0,,0,0,0
2024-03-30,24.48,11.1,4.21,5,1,0,,0,0,0
2024-03-31,23.52,6.11,3.34,6,1,0,,0,0,0
2024-04-01,23.92,7.89,4.3,0,0,0,,0,0,0
2024-04-02,23.36,12.47,4.73,1,0,0,,0,0,0
2024-04-03,24.32,10.75,3.91,2,0,0,,0,0,0
2024-04-04,23.28,9.54,4.07,3,0,0,,0,0,0
2024-04-05,24.64,12.08,4.4,4,0,0,,0,0,0
2024-04-06,20.56,7.95,3.26,5,1,0,,0,0,0
2024-04-07,23.04,9.0,3.43,6,1,0,,0,0,0
2024-04-08,20.4,8.2,3.23,0,0,0,,0,0,0
2024-04-09,24.64,12.47,3.91,1,0,0,,0,0,0
2024-04-10,0.0,0.0,0.0,2,0,1,Libur Lebaran,1,0,0
2024-04-11,0.0,0.0,0.0,3,0,1,Libur Lebaran,1,0,0
2024-04-12,0.0,0.0,0.0,4,0,1,Libur Lebaran,1,0,0
2024-04-13,0.0,0.0,0.0,5,1,1,Libur Lebaran,1,0,0
2024-04-14,0.0,0.0,0.0,6,1,1,Libur Lebaran,1,0,0
2024-04-15,20.72,7.58,3.43,0,0,0,,0,0,0
2024-04-16,26.0,10.53,3.6,1,0,0,,0,0,0
2024-04-17,29.52,7.71,3.77,2,0,0,,0,0,0
2024-04-18,29.12,6.76,4.09,3,0,0,,0,0,0
2024-04-19,22.32,8.2,3.03,4,0,0,,0,0,0
2024-04-20,20.56,29.33,2.84,5,1,0,,0,0,0
2024-04-21,23.44,6.93,2.99,6,1,0,,0,0,0
2024-04-22,30.24,11.78,4.17,0,0,0,,0,0,0
2024-04-23,25.92,10.18,3.84,1,0,0,,0,0,0
2024-04-24,22.0,7.32,3.26,2,0,0,,0,0,0
2024-04-25,20.32,8.86,23.51,3,0,0,,0,0,0
2024-04-26,28.0,7.58,3.51,4,0,0,,0,0,0
2024-04-27,28.16,30.44,3.1,5,1,0,,0,0,0
2024-04-28,24.56,9.61,4.07,6,1,0,,0,0,0
2024-04-29,25.92,7.01,3.7,0,0,0,,0,0,0
2024-04-30,25.84,7.38,3.54,1,0,0,,0,0,0
2024-05-01,12.0,4.49,3.77,2,0,0,,0,0,0
2024-05-02,21.12,6.7,4.17,3,0,0,,0,0,0
