date,sales,is_closed,dow,is_weekend,is_event,pre_event_peak,restock_flag
2024-01-01,0.0,1,0,0,0,0,0
2024-01-02,23.12,0,1,0,0,0,0
2024-01-03,12.76,0,2,0,0,0,0
2024-01-04,37.04,0,3,0,0,0,0
2024-01-05,64.36,0,4,0,0,1,0
2024-01-06,20.72,0,5,1,0,0,0
2024-01-07,30.56,0,6,1,0,0,0
2024-01-08,21.44,0,0,0,0,0,0
2024-01-09,22.88,0,1,0,0,0,0
2024-01-10,25.84,0,2,0,0,0,0
2024-01-11,23.2,0,3,0,0,0,0
2024-01-12,24.08,0,4,0,0,0,0
2024-01-13,22.88,0,5,1,0,0,0
2024-01-14,24.16,0,6,1,0,0,0
2024-01-15,26.4,0,0,0,0,0,0
2024-01-16,22.32,0,1,0,0,0,0
2024-01-17,32.4,0,2,0,0,0,0
2024-01-18,30.0,0,3,0,0,0,0
2024-01-19,23.28,0,4,0,0,0,0
2024-01-20,20.16,0,5,1,0,0,0
2024-01-21,12.16,0,6,1,0,0,0
2024-01-22,20.96,0,0,0,0,0,0
2024-01-23,29.36,0,1,0,0,0,0
2024-01-24,19.92,0,2,0,0,0,0
2024-01-25,27.12,0,3,0,0,0,0
2024-01-26,24.56,0,4,0,0,0,0
2024-01-27,22.0,0,5,1,0,0,0
2024-01-28,31.52,0,6,1,0,0,0
2024-01-29,21.28,0,0,0,0,0,0
2024-01-30,20.08,0,1,0,0,0,0
2024-01-31,20.8,0,2,0,0,0,0
2024-02-01,18.64,0,3,0,0,0,0
2024-02-02,27.12,0,4,0,0,1,0
2024-02-03,26.16,0,5,1,0,0,0
2024-02-04,77.5,0,6,1,0,0,0
2024-02-05,26.48,0,0,0,0,0,0
2024-02-06,17.68,0,1,0,0,0,0
2024-02-07,26.32,0,2,0,0,0,0
2024-02-08,16.0,0,3,0,0,0,0
2024-02-09,22.88,0,4,0,0,0,0
2024-02-10,26.4,0,5,1,0,0,0
2024-02-11,23.92,0,6,1,0,0,0
2024-02-12,24.88,0,0,0,0,0,0
2024-02-13,22.16,0,1,0,0,0,0
2024-02-14,0.0,1,2,0,1,0,0
2024-02-15,18.32,0,3,0,0,0,0
2024-02-16,22.64,0,4,0,0,0,0
